L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
913;PL025-0055;Co wskazuje przyrząd zwany wariometrem:;prędkość pionową samolotu tzn. prędkość wznoszenia i opadania;wysokość lotu;kurs geograficzny;kurs samolotu
914;PL025-0056;Czy kompozyt np. z włókien węglowych, grafitowych, szklanych itp. – stosowane są w konstrukcjach lotniczych:;Tak;Nie są stosowane;Tylko jako elementy wyposażenia kabin;Tylko w konstrukcji silników lotniczych
915;PL025-0057;Jaką pozycję przyjmuje wskaźnik ślizgu zakrętomierza, kiedy informuje o zakręcie skoordynowanym:;kulka wskaźnika znajduje się w środkowym położeniu;kulka nie znajduje się w środkowym ani max. położeniu;kulka wskażnika jest w max. skrajnym położeniu w kierunku przeciwnym do przechylenia;kulka wskaźnika jest w max. skrajnym położeniu w kierunku przechylenia
916;PL025-0069;Kompensacja masowa (wyważenie masowe);Stosowana do wyeliminowania drgań samowzbudnych lotek i sterów;Stosowana do wyeliminowania drgań klap;Stosowana do wyeliminowania drgań hamulca aerdynamicznego;Stosowana do wyeliminowania drgań sterów przy małych prędkościach
917;PL025-0112;Elementem pomiarowym (czułym) prędkościomierza mechanicznego jest:;różnicowa puszka membranowa;rurka Burdona;puszka aneroidowa;przepona gumowa
918;PL030-0001;Błąd barometryczny wysokościomierza pojawia się, gdy:;Ciśnienie na poziomie morza (Mean Sea Level) różni się od wartości 1013.25hPa;Gradient zmiany gęstości jest inny niż standardowy;Gradient zmiany ciśnienia jest inny niż ISA;Wysokościomierz został nagrzany (np.w świetle słonecznym) do wysokiej temperatury
919;PL030-0002;Błąd temperaturowy wysokościomierza pojawia się, gdy:;Gradient zmiany temperatury jest inny niż standardowy – czyli warunki różnią się od tych zdefiniowanych Międzynarodową Atmosferą Wzorcową;Gradient zmiany ciśnienia jest inny niż standardowy;Wysokościomierz został nagrzany (np.w świetle słonecznym) do wysokiej temperatury;Ciśnienie npm (Mean Sea Level) różni się od wartości 1013.25hPa
920;PL030-0003;Ciężar elementu 55 kg, ramie 2.3 m. Moment = [kgm];126.5;23.9;6957;0.0418
921;PL030-0004;Jeśli środek ciężkości znajduje się blisko lub poza skrajnym tylnym położeniem to szybowiec będzie;Trudniejszy do wyprowadzenia z korkociągu;Łatwiejszy do wyprowadzenia z korkociągu,;Trudniejszy do wprowadzenia i łatwiejszy do wyprowadzenia z korkociągu;Położenie środka ciężkości nie wpływa na własności samolotu / szybowca w korkociągu
922;PL030-0006;Jeśli środek ciężkości znajduje się blisko skrajnego tylego położenia to szybowiec będzie;Zmniejszy się stateczność podłużna (co spowoduje mniejsze siły na drążku przy manewrach);Zwiększy się stateczność podłużna;Zwiększy się stateczność podłużna (co spowoduje większe siły na drążku przy manewrach);Będą występowały duże siły na drążku
923;PL030-0007;Międzynarodowa Atmosfera Wzorcowa (International Standard Atmosphere) definiuje następujące warunki na poziomie morza: temperatura / ciśnienie / gęstość / gradient temperatury:;15°C / 1013,25 hPa / 1.225 kg/m3 / -6.5°C na 1000 m;15°C / 1013,25 mb / 1.225 kg/m3 / 1.98°C na 1000m;0°C / 1.013 Bar / 1225 g/m3 / 1.98°C na 1000 ft;15°C / 29.92 in.Hg / 1013 kg/m3 / 1.98°C na 1000 ft
924;PL030-0008;Środek ciężkości jest wyrażony w:;"w procentach średniej cięciwy aerodynamicznej (% MAC) lub odległości (mm, cm, inch) położenia S.C. względem punktu pomiarowego ""DATUM""";w procentach średniej cięciwy aerodynamicznej ciężkości (% MAC);w procentach cięciwy aerodynamicznej przy kadłubie (% MAC);w procentach średniej cięciwy aerodynamicznej liczonej w średniej rozpiętości (% MAC)
925;PL030-0009;Środek ciężkości można zdefiniować jako:;Punkt, w którym skoncentrowana jest masa statku powietrznego;Punkt, do którego przyłożone są wszystkie siły działające na statek powietrzny;Punkt, do którego przyłożone są siły nośna i ciężkości - działające na statek powietrzny;Punkt, do którego przyłożone są siły oporu działające na statek powietrzny
926;PL030-0010;Ważenie statku powietrznego (SP): odczyt na wadze pod przednim podwoziem 155 kg, odczyt – suma na głównym 320 kg. Odległość przód SP – przednie podwozie 0.8m, przód SP - główne 2.4 m. Jaka jest odległość przód SP – środek ciężkości?;1.88 m;2.92;3.2;1.68
927;PL030-0011;Ważenie statku powietrznego (SP): odczyt na wadze pod przednim podwoziem 205 kg, odczyt – suma na głównym 420 kg. Odległość przód SP – przednie podwozie 0.9m, przód SP - główne 2.6 m. Jaka jest odległość przód SP – środek ciężkości?;2.04 m;3.12 m;1.88 m;2.09 m
928;PL030-0012;Wyrażenie (wzór) na moment (siły): Moment =;siła (ciężar) mnożone przez ramię działania siły;siła (ciężar) dzielone przez ramię działania siły;siła (ciężar) x odległość środka ciężkości od datum;ramię działania siły dzielone przez siłę (ciężar)
929;PL030-0013;Jeśli środek ciężkości znajduje się blisko skrajnego przedniego położenia to:;Nastąpi zmniejszenie prędkości wznoszenia;Nastąpi zwiększenie prędkości wznoszenia;Zmniejszy się opór kształtu;Zmniejszy się opór indukowany
930;PL030-0014;Jeśli środek ciężkości znajduje się przed skrajnym przednim położeniem to szybowiec będzie:;miał większa prędkość przeciągnięcia;miał mniejszą prędkość przeciągnięcia;miał mniejszą wymaganą do lotu poziomego siłę nośną na płacie, co spowoduje zmniejszenie prędkości przeciągnięcia;miał mniejszą wymaganą do lotu poziomego siłę nośną na płacie, co spowoduje zwiększenie prędkości przeciągnięcia
931;PL030-0015;Jeśli środek ciężkości szybowca przesunie się przed skrajne przednie położenie to (między innymi):;Ze względu na konieczność większego wychylenia steru wysokości – wzrasta wymagana siła nośna na płacie – zwiększa się opór indukowany, co negatywnie wpływa na osiągi;Ze względu na konieczność mniejszego wychylenia steru wysokości – zmniejsza się siła nośna na usterzeniu, co wymaga zwiększenia siły nośnej na płacie co zmniejsza opór indukowany i ma negatywny wpływ na osiągi;Ze względu na konieczność mniejszego wychylenia steru wysokości – spada wymagana siła nośna na płacie – zmniejsza się prędkość przeciągnięcia;Ze względu na konieczność większego wychylenia steru wysokości – spada wymagana siła nośna na płacie – zwiększa się prędkość przeciągnięcia
932;PL030-0016;Masa pustego szybowca wynosi 275 kg, a maksymalna masa do startu wpisana jako ograniczenie w Instrukcji Użytkowania w Locie 395kg. Ile może ważyć pilot?;120 kg ze spadochronem i całym wyposażeniem (bagażem), istnieje również ograniczenie masy minimalną (na ogół 55kg);120 kg bez spadochronu i wyposażenia;Między 40 a 125 kg;Między 55 kg a 125 kg
933;PL030-0018;Szybowiec ma MAC 1.5 m, krawędź natarcia MAC znajduje się 1.9 m za datum szybowca, odległość datum- CG wynosi 2.4 m. Podaj położenie CG w % MAC:;33;25;20;0.5
934;PL030-0019;Szybowiec ma MAC 1.6 m, krawędź natarcia MAC znajduje się 2.1 m za datum szybowca, odległość datum- CG wynosi 2.5 m. Podaj położenie CG w % MAC:;25.0;33.0;31.2;23.8
935;PL030-0020;Szybowiec musi być wyważony ze względu na zachowanie stateczności:;podłużnej;poprzecznej;statycznej poprzecznej;dynamicznej poprzecznej i podłużnej
936;PL030-0021;Szybowiec musi być wyważony ze względu na:;Zachowanie stateczności podłużnej;Zachowanie stateczności poprzecznej;Konieczność zachowania równomiernego obciążenia goleni podwozia;Zabezpieczenia przed przekroczeniem krytycznego kąta natarcia we wszystkich stanach lotu
937;PL030-0022;W przypadku, kiedy środek ciężkości szybowca znajdzie się poza dopuszczalnymi granicami (wybrać najbardziej pełną odpowiedź):;Wpłynie to na stateczność, sterowność, siły sterowania, zwrotność i osiągi;Mogą wzrosnąć siły sterowania i spaść wznoszenie;Spada wznoszenie, ale rośnie zasięg, nie ma zmiany sił na sterach;Wpłynie to na siły sterowania, ewentualnie większe obciążenie jednostki napędowej przy wznoszeniu oraz większą prędkość na przelocie
938;PL030-0023;W standardowym układzie (klasycznym) środek ciężkości szybowca jest (licząc od przodu):;Przed środkiem aerodynamicznym;Dokładnie w środku aerodynamicznym;Zawsze dokładnie pod środkiem aerodynamicznym;Za środkiem aerodynamicznym
939;PL030-0025;Wysokość ciśnieniową lotniska danego dnia możemy ustalić:;Odczytując wysokość wskazywaną przez wysokościomierz nastawiony na 1013.2 hPa;Odczytujemy wysokość z wysokościomierza nastawionego na 1013.2hPa, a następnie korygujemy ją, ze względu odczytaną temperaturę otoczenia;Odczytujemy wysokość z wysokościomierza nastawionego na aktualne QNH, a następnie skorygujemyją ze względu odczytaną temperaturę otoczenia;Zawsze odczytując wysokość wskazywaną przez wysokościomierz nastawiony na aktualne QNH
940;PL030-0027;„Wpływ ziemi” pozwala na:;Oderwanie samolotu przy mniejszej prędkości, ale zjawisko zanika na wysokości równej w przybliżeniu rozpiętości i osiągi spadają;Osiągnięcie większej mocy silnika blisko ziemi (dotyczy silników bez sprężarkowych);Lepszą obserwacje otoczenia przez pilota ze względu na szersze pole widzenia blisko ziemi;Osiągnięcie większego ciągu silnika blisko ziemi – efekt ten zanika na wysokości równej w przybliżeniu rozpiętości samolotu
941;PL030-0028;„Wpływ ziemi” to zjawisko polegające na:;Redukcji oporu indukowanego oraz kąta natarcia potrzebnego do lotu poziomego (przy danej prędkości) co jest spowodowanej bliskością ziemii;Znacznym skróceniu fazy wytrzymania przy lądowaniu;Osiąganiu większej mocy przez silniki tłokowe blisko ziemi (dotyczy silników bezsprężarkowych);Osiągnięcie większego ciągu silnika blisko ziemi – efekt ten zanika na wysokości równej w przybliżeniu rozpiętości samolotu
942;PL030-0029;Aby przy rozbiegu / dobiegu samolotu wystąpiło zjawisko „hydroplanning’” (dynamiczne) muszą wystąpić nastepujące czynniki:;Grubość warstwy wody na pasie musi być większa od krytycznej (około 3 mm) oraz samolot musi uzyskać odpowiednią prękość;Bieżniki koł samolotu muszą rozgrzać się do wysokiej temperatury podczas intensywnego hamowania na wilgotnym pasie;Jedna z koł samolotu musi zostać zablokowane (np. awaria anti-skid) na mokrym pasie;„Hydroplanning’” to określenie dotyczące tylko lądowania wodnosamolotu na gładkiej powierzchni wody
943;PL030-0034;Co to jest V<sub>X</sub>:;To prędkość, przy której osiąga się najlepszy gradient wznoszenia. Best Angle of Climb;To prędkość, przy której osiąga się najlepszą prędkość wznoszenia Best Rate of Climb;To prędkość decyzji, przy której są bezpiecznie spełnione warunki do przerwania i kontynuowania startu;To prędkość, przy której osiąga się najlepszy stosunek siły nośnej do ciągu
944;PL030-0035;Co to jest V<sub>Y</sub>:;To prędkość, przy której osiąga się najlepszą prędkość wznoszenia Best Rate of Climb;To prędkość, przy której osiąga się najlepszy gradient wznoszenia. Best Angle of Climb;To prędkość decyzji, przy której są bezpiecznie spełnione warunki do przerwania i kontynuowania startu;To prędkość, przy której osiąga się najlepszy stosunek siły nośnej do ciągu
945;PL030-0038;Czy wysoka wilgotność przyczynia się do spadku osiągów samolotu:;Tak;Fałsz – chłodzi silnik i przez to poprawia osiągi;Wilgotność powietrza nie ma wpływu na osiągi;Wszystkie podane odpowiedzi są nieprawdziwe
946;PL030-0041;Dla każdej kombinacji wysokości lotu i masy samolotu, w zakresie prędkości minimalnej do maksymalnej istnieje:;Taki kąt natarcia, przy którym siła nośna równa się ciężarowi i możliwy jest lot poziomy;Takie przechylenie, które zapewnia, że siła nośna równa się ciężarowi i możliwy jest lot poziomy;Taki kąt natarcia, przy którym siła oporu równa się ciągowi wytwarzanemu przez jednostki napędowe i możliwy jest lot poziomy;Taki kąt natarcia, przy którym siła nośna równa się ciężarowi razy cosinus kąta natarcia i możliwy jest lot poziomy
947;PL030-0042;Duża wysokość gęstościowa oznacza (w stosunku do małej wysokości gęstościowej):;Małą gęstość powietrza i niskie osiągi samolotu;Dużą gęstość powietrza i niskie osiągi samolotu;Dużą gęstość powietrza i wysokie osiągi samolotu;Małą gęstość powietrza i wysokie osiągi samolotu
948;PL030-0045;Jak wpłynie na długość rozbiegu samolotu (na danym lotnisku) wysoka temperatura otoczenia w porównaniu z przypadkiem, gdy temperatura otoczenia jest niska:;Zwiększenie długości rozbiegu;Zmniejszenie długości rozbiegu;Temperatura otoczenia nie ma wpływu na długość rozbiegu;wszystkie podane odpowiedzi są nieprawdziwe
949;PL030-0046;Jak wpłynie na długość rozbiegu samolotu start z lotniska położonego wysoko w górach, w stosunku do startu w takich samych warunkach temperatury, masy samolotu, wiatru i ustawiania klap z lotniska na 0 m npm:;Start z wysoko położonego lotniska - większenie długości rozbiegu;Zmniejszenie długości rozbiegu;Elewacja lotniska nie ma wpływu na długość rozbiegu;wszystkie podane odpowiedzi są nieprawdziwe
950;PL030-0047;Jak wpłynie użycie większego wychylenia klap ( niż zwykle) na długość rozbiegu samolotu:;Zmniejszenie długości rozbiegu;Zwiększenie długości rozbiegu;Nie ma wpływu na długość rozbiegu;wszystkie podane odpowiedzi są nieprawdziwe
951;PL030-0048;Jak wpłynie zwiększenie masy samolotu na długość rozbiegu:;Zwiększenie długości rozbiegu;Zmniejszenie długości rozbiegu;Nie ma wpływu na długość rozbiegu;wszystkie podane odpowiedzi są nieprawdziwe
952;PL030-0049;Jakie będą efekty zmiany temperatury otoczenia na osiągi samolotu jeśli wszystkie inne parametry pozostaną niezmnienione:;Spadek temperatury otoczenia spowoduje wzrost gradientu wznoszenia;Wzrost temperatury otoczenia spowoduje spadek wymaganego dystansu do startu;Spadek temperatury otoczenia spowoduje wzrost wymaganego dystansu do startu;Wzrost temperatury otoczenia spowoduje spadek wymaganego dystansu do startu i lądowania
953;PL030-0050;Jakie będą efekty zmiany temperatury otoczenia na osiągi samolotu jeśli wszystkie inne parametry pozostaną niezmnienione:;Spadek temperatury otoczenia spowoduje zmniejszenie wymaganego dystansu do startu;Wzrost temperatury otoczenia spowoduje spadek wymaganego dystansu do startu;Spadek temperatury otoczenia spowoduje wzrost wymaganego dystansu do startu;Zmiany temperatury otoczenia nie spowodują zmiany wymaganego dystansu do startu
954;PL030-0055;Jeśli środek ciężkości znajduje się blisko skrajnego przedniego położenia to:;Nastąpi zmniejszenie prędkości wznoszenia;Ze względu na konieczność mniejszego wychylenia steru wysokości – spada wymagana siła nośna na płacie – zmniejsza się prędkość przeciągniecia;nastąpi zmniejszenie zużycia paliwa podczas lotu ze względu na mniejszy opór;nastąpi zmniejszenie oporu indukowanego
955;PL030-0057;Jeśli środek ciężkości znajduje się przed skrajnym przednim położeniem to samolot będzie między innymi:;Ze względu na konieczność większego wychylenia steru wysokości – wzrasta wymagana siła nośna na płacie – zwiększa się opór indukowany, co negatywnie wpływa na osiągi;Ze względu na konieczność mniejszego wychylenia steru wysokości – zmniejsza się siła nośna na usterzeniu, co wymaga zwiększenia siły nosniej na płacie co zmniejsza opór indukowany i ma negatywny wpływ na osiągi;Ze względu na konieczność mniejszego wychylenia steru wysokości – spada wymagana siła nośna na płacie – zmniejsza się prędkość przeciągniecia;Ze względu na konieczność większego wychylenia steru wysokości – spada wymagana siła nośna na płacie – zwiększa się prędkość przeciągniecia
956;PL030-0059;Kierunek pasa 040°, wiatr 270 / 18 kt (ATIS). Jakie są składowe wiatru:;W ogon: 12 kt, boczna – z lewej 14 kt;Czołowa: 12 kt, boczna – z prawej 14 kt;Czołowa: 16 kt, boczna – z prawej 16 kt;W ogon: 8 kt, boczna – z lewej 21 kt
957;PL030-0060;Kierunek pasa 150°, wiatr 220 / 22 kt (ATIS). Jakie są składowe wiatru:;Czołowa: 8 kt, boczna – z prawej 21 kt;Czołowa: 14 kt, boczna – z prawej 17 kt;Czołowa: 4 kt, boczna – z prawej 22 kt;W ogon: 8 kt, boczna – z lewej 21 kt
958;PL030-0061;Kierunek pasa 200°, wiatr 080 / 13 kt (ATIS). Jakie są składowe wiatru:;W ogon: 7 kt, boczna – z lewej 11 kt;Czołowa: 7 kt, boczna – z prawej 11 kt;Czołowa: 4 kt, boczna – z prawej 12 kt;W ogon: 8 kt, boczna – z lewej 12 kt
959;PL030-0062;Kierunek pasa 220°, wiatr 160 / 26 kt (ATIS). Jakie są składowe wiatru:;Czołowa: 13 kt, boczna – z lewej 23 kt;Czołowa: 14 kt, boczna – z prawej 17 kt;Czołowa: 9 kt, boczna – z prawej 23 kt;W ogon: 13 kt, boczna – z lewej 22 kt
960;PL030-0063;Kierunek pasa 330°, wiatr 250 / 15 kt (ATIS). Jakie są składowe wiatru:;Czołowa: 3 kt, boczna – z lewej 15 kt;Czołowa: 8 kt, boczna – z lewej 13 kt;W ogon: 3 kt, boczna – z lewej 15 kt;W ogon: 3 kt, boczna – z prawej 15 kt
961;PL030-0064;Które, z podanych kombinacji warunków pogodowych panujących na lotnisku podczas startu, przyczynią się największego spadku osiągów samolotu:;duża temperatura, duża wysokość gęstościowa, duża wilgotność;mała temperatura, duża wysokość gestościowa, mała wilgotność;duża temperatura, mała wysokość gestościowa, małą wilgotność;mała temperatura, małą wysokość gestościowa, mała wilgotność
962;PL030-0065;Które, z podanych kombinacji warunków pogodowych panujących na lotnisku podczas startu, przyczynią się największego spadku osiągów samolotu:;duża wysokość gęstościowa i duża temperatura otoczenia;silny wiatr czołowy;słaby opad deszczu przy niskiej, ale dodatniej temperaturze otoczenia;niska temperatura otoczenia
963;PL030-0066;Liczba Macha to stosunek:;Prędkości TAS i lokalnej prędkości dźwięku;Prędkości IAS i lokalnej prędkości dźwięku;Prędkości IAS i prędkości dźwięku na danej wysokości odniesionej do ISA;Prędkości TAS i prędkości dźwięku na poziomie morza
964;PL030-0068;Maksymalna konstrukcyjna masa do lądowania (Maximum Structural Landing Mass) to:;maksymalna masa do lądowania w normalnych okolicznościach;maksymalna masa do lądowania - nieprzekraczalna - nawet w sytuacjach awaryjnych ze względu na pewność zniszczenia konstrukcji;maksymalna masa do lądowania w sytuacjach awaryjnych (1.3 razy większa od normalnej masy do lądowania);maksymalna masa do startu i do lądowania w sytuacjach awaryjnych (1.3 razy większa od normalnej masy do lądowania)
965;PL030-0072;Mała wysokość gęstościowa oznacza, że:;Gęstość powietrza jest duża – czyli osiągi samolotu będą lepsze niż w przypadku dużej wysokości gestościowej;Gęstość powietrza jest duża – czyli osiągi samolotu będą dużo gorsze niż w przypadku dużej wysokości gestościowej;Gęstość powietrza jest mała, co powoduje spadek osiągów samolotu w porównaniu do przypadku dużej wysokości gestościowej;Gęstość powietrza jest duża, co powoduje spadek osiągów samolotu w porównaniu do przypadku dużej wysokości gestościowej
966;PL030-0078;Najbardziej ekonomiczny z punktu widzenia zużycia paliwa / zasięgu kąt natarcia to taki, który wytwarza:;Najlepszy stosunek sił nośnej do oporu – taki najbardziej ekonomiczny kąt natarcia jest stały dla każdej kombinacji wysokości lotu i masy samolotu;Najlepszy stosunek sił nośnej do oporu – taki najbardziej ekonomiczny kąt natarcia rośnie wraz z masą samolotu oraz wysokością lotu;Najlepszy stosunek siły oporu do ciągu;Najlepszy stosunek siły nośnej do ciągu
967;PL030-0079;Odnośnie efektu „wpływu ziemi” prawdą jest, że:;Zjawisko zanika na wysokości równej w przybliżeniu rozpiętości samolotu / szybowca i osiągi spadają;Zjawisko znaczne skraca fazę wytrzymania przy lądowaniu;Poprawia się gradient wznoszenia do wysokości 150 m;Wzrasta istotnie prędkość przeciągnięcia
968;PL030-0080;Odnośnie wpływu oblodzenia na osiągi statków powietrznych prawdą jest, że:;Nawet drobne zanieczyszczenie typu „papier ścierny” powierzchni nośnych może mieć niebezpieczny wpływ na osiągi;Lód na górnej powierzchni skrzydeł /łopat wirników jest mniej niebezpieczny niż na dolnej;Głównym czynnikiem wpływającym na osiągi statków powietrznych jest masa osadzającego się na nich lodu;Aby na statku powietrznym pojawiło się oblodzenie mające wpływ na osiągi musi on poruszać się w chmurach
969;PL030-0085;Podczas wykonywania prawidłowego zakrętu z przechyleniem 60 stopni:;Prękość przeciągnięcia wzrosnie o około 40%;Prękość przeciągnięcia spadnie o około 20%;Prękość przeciągnięcia wzrośnie o około 60%;Prędkość przeciągnięcia nie zmienia się w zakręcie
970;PL030-0086;Podczas zakrętu:;Pojawia się siła dośrodkowa i przeciązenie (load factor);Siła ciężkości jest dokładnie równoważona przez siłę nośną;Pojawia się przyspieszenie ujemne;Spada prękość przeciągniecia
971;PL030-0087;Przeciążenie wystepujące w zakręcie (load factor) to:;Całkowita siła nośna dzielona przez ciężar;Ciężar dzielony przez siłę nośną;Ciąg dzielony przez ciężar;Ciężar dzielony przez ciąg
972;PL030-0088;Przy starcie z pasa nachylonego - pod górę – przyspieszenie podczas rozbiegu samolotu będzie ... ,a długość rozbiegu ... :;Mniejsze, wzrośnie;Mniejsze, zmniejszy się;Nie ma różnicy, nie ma wpływu na długość rozbiegu;Większe, zmniejszy się
973;PL030-0089;Przy starcie z pasa o nachyleniu dodatnim – z góry długość rozbiegu samolotu:;Zmniejszy się;Zwiększy się;Nachylenie drogi startowej nie ma wpływu na długość rozbiegu;wszystkie podane odpowiedzi są nieprawdziwe
974;PL030-0090;Pułap praktyczny to wysokość ciśnieniowa, na której:;prędkość wznoszenia statku powietrznego osiąga pewną, określoną przepisami, wartość;prędkość wznoszenia statku powietrznego osiąga zero;prędkość przeciągniecia i krytyczna prędkość Macha statku powietrznego są równe;prędkość statku powietrznego nie pozwala na żadne poziome manewry
975;PL030-0091;Rozbieg z pasa o jakiej nawierzchni będzie najdłuższy:;Wysoka trawa;Niska trawa;Beton;Asfalt
976;PL030-0094;Samolot musi być wyważony ze względu na zachowanie stateczności:;podłużnej;poprzecznej;stayczynej poprzecznej;dynamicznej poprzecznej i podłużnej
977;PL030-0095;Samolot musi być wyważony ze względu na:;Zachowanie stateczności podłużnej;Zachowanie stateczności poprzecznej;Konieczność zachowania równomiernego obciążenia goleni podwozia;Zabezpieczenia przed przekroczeniem krytycznego kąta natarcia we wszystkich stanach lotu
978;PL030-0096;Skutki przeciążenia to między innymi:;Podwyższenie prędkości startu i prędkości bezpiecznych, wydłużenie dystansu do startu i lądowania, zmniejszenie prędkości wznoszenia, możliwość uszkodzeń konstrukcji samolotu;Obniżenie prędkości startu i prędkości bezpiecznych, nie ma zmian w osiągach silników;Obniżenie prędkości startu i prędkości bezpiecznych oraz możliwość uszkodzeń konstrukcji samolotu;Podwyższenie prędkości startu oraz zwiększenie zasięgu i długotrwałości lotu
979;PL030-0104;Użycie (wysunięcie) klap zmniejsza:;Współczynnik sił nośnej do oporu;Opór indukowany;Pole widzenia pilota ze względu na zwiększony kąt natarcia;Ciąg potrzebny do lotu poziomego
980;PL030-0107;W danym samolocie mamy dwa położenia klap: 0 i 10 stopni. Aby uzyskać krótszą długość rozbiegu użyjemy klap:;10;0;Położenie klap nie ma wpływu na długość rozbiegu;wszystkie podane odpowiedzi są nieprawdziwe
981;PL030-0110;W standardowym układzie (klasycznym) środek ciężkości samolotu jest (licząc od przodu):;Przed środkiem aerodynamicznym;Dokładnie w środku aerodynamicznym;Zawsze dokładnie pod środkiem aerodynamicznym;Za środkiem aerodynamicznym
982;PL030-0111;Ważenie samolotu: przednie kółko 1000kg, lewe i prawe koła główne po 5000kg. Odległość między kółkiem przednim i głównymi wynosi 10 m. Ile przed kołami głównego podwozia znajduje się środek masy:;0.91 m;0.75 m;9.1 m;0.81 m
983;PL030-0120;Zjawisko polegajce na oblodzeniu statecznika poziomego:;Może doprowadzić do przeciągniecia statecznika poziomego i wejście samolotu w niekontrolowane nurkowanie;Gdy zaistnieje, wymaga takiego samego działania ze strony pilota – oddania steru od siebie, dodania mocy;Występuje tylko na dużych samolotach pasażerskich;Jest najbardziej niebezpieczne przy dużych prędkościach lotu, kiedy skuteczność sterowania pochyleniem jest największa
984;PL030-0221;Użycie (wysunięcie) klap zmniejsza:;Współczynnik sił nośnej do oporu;Opór indukowany;Pole widzenia pilota ze względu na zwiększony kąt natarcia;Opór kształtu
985;PL030-0222;Szybowiec musi być wyważony ze względu na:;Zachowanie stateczności podłużnej;Zachowanie stateczności poprzecznej;Konieczność zachowania równomiernego obciążenia goleni podwozia;Zabezpieczenia przed przekroczeniem krytycznego kąta natarcia we wszystkich stanach lotu
986;PL030-0223;Szybowiec musi być wyważony ze względu na zachowanie stateczności:;podłużnej;poprzecznej;statycznej poprzecznej;dynamicznej poprzecznej i podłużnej
987;PL030-0224;Przeciążenie wystepujące w zakręcie (load factor) to:;Całkowita siła nośna dzielona przez ciężar;Siła odśrodkowa dzielona przez siłę nośną;Siła odśrodkowa dzielony przez ciężar;żadna z odpowiedzi nie jest prawdziwa
988;PL030-0226;„Wpływ ziemi” to zjawisko polegające na:;Redukcji oporu indukowanego oraz kąta natarcia potrzebnego do lotu poziomego (przy danej prędkości) co jest spowodowanej bliskością ziemii;Znacznym skróceniu fazy wytrzymania przy lądowaniu;Osiąganiu mniejszej doskonałości blisko ziemi;żadna z odpowiedzi nie jest prawdziwa
989;PL030-0227;Przed przygotowaniem balonu do lotu, pilot powinien uwzględnić następujące czynniki:;siłę i kierunek wiatru, dopuszczalny ciężar startowy, wpływ temperatury na ciśnienie gazu, przydatność terenu do lądowania, ograniczenia ruchu lotniczego, niebezpieczne zjawiska atmosferyczne;siłę wiatru, wpływ siły Coriolisa na kierunek lotu, dopuszczalny ciężar startowy, wpływ temperatury na ciśnienie gazu, niebezpieczne zjawiska atmosferyczne;jedynie dopuszczalny ciężar startowy i niebezpieczne zjawiska atmosferyczne;równanie stanu gazu w butlach paliwowych, siłę i kierunek wiatru, niebezpieczne zjawiska atmosferyczne
990;PL030-0228;Ciężar, który może być bezpiecznie uniesiony przez balon głównie zależy od:;Temperatury otaczającego powietrza i wysokości lotu;Prędkości wiatru na wysokości startu;Ciśnienia gazu w butlach;Prędkości wiatru na przewidywanej wysokości lotu
991;PL030-0229;Czy istnieje możliwość, że maksymalny ciężar startowy balonu zostanie przekroczony mimo, że nie zostanie przekroczona dopuszczalna temperatura w powłoce?;Tak, może tak się zdarzyć przy lotach w niskiej temperaturze;Nie istnieje taka możliwość;Jest to możliwe gdy wartość ciśnienia atmosferycznego jest niższa niż 1013 hPa;Jest to możliwe, gdy wartość ciśnienia atmosferycznego jest wyższa niż 1013 hPa
992;PL030-0230;W odniesieniu do wartości ciśnienia zasilającego palnik, należy przestrzegać następujących ograniczeń:;Minimalnego i maksymalnego ciśnienia gazu;Tylko minimalnego ciśnienia gazu;Tylko maksymalnego ciśnienia gazu;Wartość ciśnienia gazu zasilającego palnik nie podlega żadnym ograniczeniom
993;PL030-0231;Wykonanie lotu balonem jest dopuszczalne przy uszkodzeniach:;Nomexu,;Układu paliwowego;Taśm nośnych;palnika
994;PL030-0232;Zapas paliwa (gazu) przy starcie musi uwzględniać:;Osiągnięcie planowanego rejonu lądowania oraz odpowiednią rezerwę na wypadek poszukiwania miejsca odpowiedniego do lądowania;Tylko osiągnięcie planowanego rejonu lądowania, bez konieczności rezerwy na wypadek poszukiwania miejsca odpowiedniego do lądowania;Nalot pilota jako dowódcy, ponieważ powyżej nalotu 500 godzin nie trzeba uwzględniać żadnej rezerwy paliwa;Rezerwę paliwa zapewnia się tylko przy wykonywaniu lotów długodystansowych
995;PL030-0233;Po starcie przy silnym wietrze zza zasłony, należy się spodziewać:;Wypchnięcia z powłoki części gorącego powietrza i odchylenia płomienia palnika;Tylko odchylenia płomienia palnika;Tylko wypchnięcia z powłoki części gorącego powietrza;Nie należy się spodziewać żadnych zjawisk
996;PL030-0234;Gwałtownego uderzenia wiatru w powłokę i wypchnięcia z niej części gorącego powietrza należy się spodziewać:;Przy starcie zza zasłony przy silnym wietrze lub przy występowaniu termiki;Zawsze przy starcie na wysokości większej niż 1000 m. AMSL;Jedynie przy występowaniu chmur Cirrus;Jeśli powłoka balonu ma objętość mniejszą niż 3000 m3
